regime,seed,mean_gini,mean_unemployment,mean_protest_share,mean_redistribution,std_redistribution
captured,11015,0.43038077635549865,0.026583333333333334,0.0,116.81783034823776,43.186924324351054
captured,11016,0.47275363625001904,0.025666666666666664,6.666666666666667e-05,127.43233103449475,47.4663626495367
captured,11017,0.515740089972087,0.03516666666666667,1.6666666666666667e-05,122.88234337877778,44.619703949057765
captured,11018,0.4901016198890007,0.018516666666666667,3.3333333333333335e-05,103.99276227882518,41.22649713801097
captured,11019,0.49980374055152915,0.014316666666666667,1.6666666666666667e-05,116.72821211205626,40.38383011697626
captured,11020,0.43947766771040564,0.02078333333333333,1.6666666666666667e-05,122.85969579202244,41.50570782930652
captured,11021,0.4840034087669063,0.040350000000000004,6.666666666666667e-05,131.09637001464293,47.15649485301878
captured,11022,0.5021941680452224,0.03138333333333334,0.0,121.45465252370171,40.08287397115085
captured,11023,0.4444129945040326,0.023999999999999997,1.6666666666666667e-05,113.94026267203385,41.19798820446451
captured,11024,0.5287753305488174,0.12474999999999997,8.333333333333334e-05,95.74889951950144,36.64117520402695
dictatorship,21000,0.4529750742414295,0.023483333333333332,0.0,124.82125413333367,41.96375744394617
dictatorship,21001,0.4531009207157002,0.021483333333333333,0.0,110.50017726063884,41.7632099453016
dictatorship,21002,0.4167691893052809,0.032233333333333336,0.0,117.70660731684048,39.05208729844211
dictatorship,21003,0.49863179824722703,0.03298333333333334,0.0,123.67422491133863,44.8441109072294
dictatorship,21004,0.4705757765184917,0.01705,0.0,103.50340256359146,39.089878534311715
dictatorship,21005,0.4558396251801328,0.05763333333333333,0.0,111.77422764080545,43.09689908226767
dictatorship,21006,0.47878940961707,0.029966666666666666,0.0,123.79116193007188,44.07830077252364
dictatorship,21007,0.45018158972372324,0.054,0.0,120.95464442469029,45.432548403484596
dictatorship,21008,0.49064244418133,0.03713333333333334,0.0,108.45717125002187,37.595783371347224
dictatorship,21009,0.4689576872106471,0.015383333333333334,0.0,130.20302642325376,47.02474915265178
dictatorship,21010,0.49765739619370464,0.01895,0.0,119.91097965072001,43.85073103548197
dictatorship,21011,0.49417022250874254,0.023733333333333335,0.0,112.32836169509743,40.12711409444408
dictatorship,21012,0.4381564279870587,0.016483333333333336,0.0,119.30130249149721,41.2904180647368
dictatorship,21013,0.48475905551048376,0.03443333333333334,0.0,114.34455181875616,44.567036854417516
dictatorship,21014,0.47879176542694724,0.03126666666666667,0.0,119.7024416084721,39.614563810779806
dictatorship,21015,0.48083028319192406,0.02058333333333333,0.0,115.46035577635686,41.412931714417105
dictatorship,21016,0.4771264592034814,0.025216666666666665,0.0,125.01377713728873,44.87589254724182
dictatorship,21017,0.4320377276345128,0.04426666666666666,0.0,98.40173734846267,38.9347844661261
