,gdp_billions,unemployment_rate_pct,lfpr_pct,avg_hourly_earnings_nominal,avg_hourly_earnings_real,job_openings_thousands,total_nonfarm_employment,civilian_labor_force_thousands,wage_p10,wage_p50,wage_p90,fed_tax_revenue_pct_gdp,wage_growth_yoy,labor_market_tightness,gini_coefficient,avg_federal_tax_rate_pct,redist_eitc,redist_snap,redist_medicaid,redist_ui,workers_affected,days_idle,civil_unrest_events,protest_intensity_score
1970-12-31,-4.2,5.833333333333333,60.4,,3.28,,70574.0,83498.0,,,,354.25,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,4.765,2468.0,52761.0,25.0,0.5000147787970969
1971-03-31,11.3,5.933333333333334,60.166666666666664,,3.3800000000000003,,70844.0,83676.0,,,,358.566,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,6.653,2516.0,35538.0,3.0,0.500015034179454
1971-06-30,2.2,5.900000000000001,60.03333333333333,,3.43,,71179.0,83929.0,,,,373.206,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,6.653,2516.0,35538.0,3.0,0.5000149888596314
1971-09-30,3.3,6.033333333333334,60.13333333333333,,3.473333333333333,,71434.0,84581.33333333333,,,,377.132,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,6.653,2516.0,35538.0,3.0,0.5000148732580869
1971-12-31,0.9,5.933333333333334,60.300000000000004,,3.513333333333333,,71866.0,85318.33333333333,,,,383.306,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,6.653,2516.0,35538.0,3.0,0.5000147447793557
1972-03-31,7.6,5.766666666666667,60.300000000000004,,3.603333333333333,,72677.66666666667,86208.33333333333,,,,399.428,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,6.683,975.0,16764.0,2.0,0.5000056549057516
1972-06-30,9.4,5.7,60.4,,3.6666666666666665,,73463.0,86809.66666666667,,,,403.929,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,6.683,975.0,16764.0,2.0,0.5000056157340388
1972-09-30,3.8,5.566666666666666,60.46666666666667,,3.723333333333333,,74038.0,87350.66666666667,,,,404.908,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,6.683,975.0,16764.0,2.0,0.5000055809533985
1972-12-31,6.9,5.366666666666667,60.36666666666667,,3.8000000000000003,,74971.66666666667,87675.33333333333,,,,419.285,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,6.683,975.0,16764.0,2.0,0.5000055602868158
1973-03-31,10.3,4.933333333333334,60.43333333333334,,3.8699999999999997,,75971.66666666667,88232.33333333333,,,,426.927,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,5.249,1400.0,16260.0,3.0,0.5000079335995496
1973-06-30,4.4,4.933333333333334,60.76666666666667,,3.93,,76663.33333333333,89181.0,,,,439.107,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,5.249,1400.0,16260.0,3.0,0.5000078492055483
1973-09-30,-2.1,4.8,60.800000000000004,,4.003333333333334,,77119.0,89650.33333333333,,,,437.629,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,5.249,1400.0,16260.0,3.0,0.5000078081137457
1973-12-31,3.9,4.766666666666667,61.1,,4.07,,77852.66666666667,90579.0,,,,451.018,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,5.249,1400.0,16260.0,3.0,0.500007728060588
1974-03-31,-3.4,5.133333333333333,61.333333333333336,,4.126666666666666,,78216.66666666667,91379.0,,,,465.643,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,7.785,1796.0,31809.0,0.0,0.5000098272031868
1974-06-30,1.0,5.2,61.166666666666664,,4.236666666666667,,78511.66666666667,91583.66666666667,,,,477.348,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,7.785,1796.0,31809.0,0.0,0.5000098052418371
1974-09-30,-3.7,5.633333333333333,61.333333333333336,,4.376666666666666,,78621.66666666667,92253.0,,,,507.012,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,7.785,1796.0,31809.0,0.0,0.5000097341007881
1974-12-31,-1.5,6.6000000000000005,61.26666666666667,,4.496666666666667,,78182.33333333333,92688.0,,,,521.208,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,7.785,1796.0,31809.0,0.0,0.5000096884170551
1975-03-31,-4.8,8.266666666666666,61.199999999999996,,4.583333333333333,,76953.0,93023.0,,,,550.065,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,18.933,965.0,17563.0,8.0,0.500005186889264
1975-06-30,2.9,8.866666666666667,61.333333333333336,,4.653333333333333,,76535.0,93619.33333333333,,,,571.863,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,18.933,965.0,17563.0,8.0,0.5000051538499882
1975-09-30,7.0,8.466666666666667,61.26666666666667,,4.746666666666667,,77050.33333333333,94128.33333333333,,,,583.501,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,18.933,965.0,17563.0,8.0,0.5000051259804876
1975-12-31,5.5,8.299999999999999,61.13333333333333,,4.83,,77747.33333333333,94308.66666666667,,,,600.049,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,18.933,965.0,17563.0,8.0,0.5000051161787888
1976-03-31,9.3,7.733333333333333,61.29999999999999,,4.94,,78789.0,95049.0,,,,609.582,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,17.608,1519.0,23962.0,0.0,0.5000079906153668
1976-06-30,3.0,7.566666666666666,61.53333333333333,,5.03,,79326.66666666667,95826.0,,,,606.867,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,17.608,1519.0,23962.0,0.0,0.5000079258238891
1976-09-30,2.2,7.733333333333333,61.73333333333333,,5.156666666666667,,79714.33333333333,96625.66666666667,,,,619.599,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,17.608,1519.0,23962.0,0.0,0.5000078602303736
1976-12-31,2.9,7.766666666666667,61.76666666666667,,5.243333333333333,,80199.66666666667,97102.0,,,,630.201,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,17.608,1519.0,23962.0,0.0,0.5000078216720562
1977-03-31,4.8,7.5,61.833333333333336,,5.37,,81023.0,97702.66666666667,,,,645.408,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,14.5,1212.0,21258.0,7.0,0.5000062024919143
1977-06-30,8.0,7.133333333333333,62.23333333333333,,5.493333333333333,,82101.33333333333,98696.0,,,,657.414,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,14.5,1212.0,21258.0,7.0,0.5000061400664667
1977-09-30,7.4,6.8999999999999995,62.23333333333333,,5.613333333333333,,83147.0,99244.0,,,,669.001,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,14.5,1212.0,21258.0,7.0,0.5000061061625892
1977-12-31,0.0,6.666666666666667,62.63333333333333,,5.72,,84127.66666666667,100294.0,,,,688.771,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,14.5,1212.0,21258.0,7.0,0.5000060422358267
1978-03-31,1.3,6.333333333333333,62.76666666666667,,5.8566666666666665,,85000.66666666667,100934.0,,,,702.39,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,11.62,1006.0,23774.0,14.0,0.5000049834545347
1978-06-30,16.4,6.0,63.13333333333333,,5.966666666666666,,86540.33333333333,101947.0,,,,721.911,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,11.62,1006.0,23774.0,14.0,0.500004933936261
1978-09-30,4.1,6.033333333333334,63.23333333333333,,6.1000000000000005,,87436.0,102568.33333333333,,,,749.361,,,0.38825728809446775,,33.004839999999994,11.3270795,392.28125,11.62,1006.0,23774.0,14.0,0.500004904047708
