,gdp_billions,unemployment_rate_pct,lfpr_pct,avg_hourly_earnings_nominal,avg_hourly_earnings_real,job_openings_thousands,total_nonfarm_employment,civilian_labor_force_thousands,wage_p10,wage_p50,wage_p90,fed_tax_revenue_pct_gdp,wage_growth_yoy,labor_market_tightness,gini_coefficient,avg_federal_tax_rate_pct,redist_eitc,redist_snap,redist_medicaid,redist_ui,workers_affected,days_idle,civil_unrest_events,protest_intensity_score
1978-09-30,2395.053,6.033333333333334,63.23333333333333,,6.1000000000000005,,87436.0,102568.33333333333,,,,749.361,,,0.347813491665,,1.048,11.3270795,13.0,11.62,1006.0,23774.0,14.0,0.17178238963670334
1978-12-31,2476.949,5.8999999999999995,63.46666666666667,,6.256666666666667,,88339.33333333333,103483.66666666667,,,,767.107,,,0.347813491665,,1.048,11.3270795,13.0,11.62,1006.0,23774.0,14.0,0.1707535328217771
1979-03-31,2526.61,5.866666666666667,63.73333333333333,,6.403333333333333,,89114.0,104382.66666666667,,,,776.403,,,0.34759404388,,2.052,11.3270795,13.0,11.784,1021.0,20409.0,7.0,0.1631085602939192
1979-06-30,2591.247,5.7,63.43333333333334,,6.503333333333333,,89771.33333333333,104327.0,,,,799.709,,,0.34759404388,,2.052,11.3270795,13.0,11.784,1021.0,20409.0,7.0,0.1631690194928015
1979-09-30,2667.565,5.866666666666667,63.666666666666664,,6.63,,90281.33333333333,105209.33333333333,,,,829.638,,,0.34759404388,,2.052,11.3270795,13.0,11.784,1021.0,20409.0,7.0,0.16221521156849922
1979-12-31,2723.883,5.966666666666666,63.76666666666667,,6.75,,90575.33333333333,105923.33333333333,,,,851.735,,,0.34759404388,,2.052,11.3270795,13.0,11.784,1021.0,20409.0,7.0,0.16145031593266318
1980-03-31,2789.842,6.3,63.9,,6.883333333333333,,90892.33333333333,106567.0,,,,892.894,,,0.347179690404,15.31,1.986,11.3270795,25.0,20.41,795.0,20844.0,0.0,0.14584130591095504
1980-06-30,2797.352,7.333333333333333,63.800000000000004,,7.03,,90456.66666666667,106766.66666666667,,,,922.797,,,0.347179690404,15.31,1.986,11.3270795,25.0,20.41,795.0,20844.0,0.0,0.14563258567011925
1980-09-30,2856.483,7.666666666666667,63.699999999999996,,7.233333333333333,,90050.66666666667,107120.66666666667,,,,956.08,,,0.347179690404,15.31,1.986,11.3270795,25.0,20.41,795.0,20844.0,0.0,0.14526368824265404
1980-12-31,2985.557,7.3999999999999995,63.699999999999996,,7.456666666666666,,90726.66666666667,107441.66666666667,,,,970.564,,,0.347179690404,15.31,1.986,11.3270795,25.0,20.41,795.0,20844.0,0.0,0.14493044823455675
1981-03-31,3124.206,7.433333333333334,63.96666666666666,,7.626666666666666,,91116.0,108273.66666666667,,,,1022.594,,,0.354882944136,15.76,1.912,11.3270795,25.0,18.942,728.9,16908.4,3.0,0.1288723086410268
1981-06-30,3162.532,7.3999999999999995,64.06666666666666,,7.806666666666666,,91356.33333333333,108847.66666666667,,,,1037.406,,,0.354882944136,15.76,1.912,11.3270795,25.0,18.942,728.9,16908.4,3.0,0.128306270063266
